gene	kcore
PACSIN3	182
SH3RF1	204
SH3RF3	293
NRG4	383
PKN1	365
PRKCH	472
SORT1	257
ADAM22	233
ADAM28	263
IL1R1	370
IL1RAP	383
KIT	472
ADAM9	354
LGALS14	396
ADAP1	372
KIF13B	157
MAP4K2	286
ADCY7	599
CNR1	599
GNB5	599
GNG10	592
GNG11	592
IL1A	396
S1PR1	593
ADCY10	599
RGS2	438
RIC8A	309
AKAP12	396
TPTE	354
DRD5	599
GHRHR	438
GLP1R	396
PTGER2	599
ADD1	396
ADD2	366
ADGRB1	215
MAGI3	291
MDM4	396
GP1BB	369
ADRA2A	599
ADRA2C	599
GPHA2	438
CAMLG	284
PROKR2	438
APPL1	351
RAMP1	438
RAMP2	396
ADM2	438
ADORA3	438
GNA12	356
ADRA2B	599
RAPGEF2	365
CYTH2	590
AFAP1L2	396
AGAP1	95
DENND1A	175
EXOC3	176
EXOC4	172
MRAS	599
PTPN11	472
PTPRM	188
RAP2C	272
RRAS	599
SIPA1	185
AFF1	396
DENND4C	115
NF1	472
RASAL2	472
SYNGAP1	271
AGAP2	368
INSR	396
UNC5B	354
AGER	396
CYBB	454
S100A9	354
SAA1	438
MAP2K1	539
MAP2K2	539
RAF1	539
GYG1	396
GYG2	396
NHLRC1	396
PLPP3	300
CHRM1	599
CHRNA1	200
CHRNG	50
LAMA2	263
LAMA4	291
LAMB2	228
RAPSN	162
MC3R	438
MC4R	438
APLNR	599
EDNRB	438
GPR15	438
GPR25	599
LPAR1	599
LPAR2	599
LPAR3	599
MAS1	396
PTGFR	472
PTP4A3	453
ANGPT1	396
ANGPT4	378
FGF2	396
CDCA5	289
EML4	290
ESPL1	289
PDS5A	289
PDS5B	299
WAPL	281
PLEC	191
MYOF	203
NCOA7	396
SNAI3	396
EPB42	378
RALB	336
AJAP1	376
AK2	238
AKAP1	539
TGM2	386
WUGSC:H_GS165O14.2	274
BRAP	396
TRPV1	539
NPY4R	423
AKIP1	354
PAX7	272
BCL10	396
BTBD10	396
CCDC88A	382
CTNND2	279
DAB1	369
DAB2IP	396
FAM83B	442
FASLG	396
FGFR1	396
FGFR2	396
FGFR3	396
FGFR4	396
FRS2	396
FRS3	368
GAB3	472
GRAP	383
GRB14	372
IRAK1	396
KIF14	298
LTB4R2	438
MALT1	396
MAP2K4	359
MAP3K7	396
MKRN1	396
PIK3R5	599
PIK3R6	599
PLXNA1	235
PPP1R3C	338
PTK6	383
RALGDS	346
RASD2	599
RHEBL1	396
S1PR3	438
SH2B2	371
SLC9A1	539
SMO	564
STRN	396
TFF1	396
TRHDE	396
UCHL1	396
USP8	389
VLDLR	285
WDFY2	386
WNK4	396
SIK2	539
HOOK2	223
FGA	271
ALCAM	287
PEF1	396
ALK	389
IRS4	396
MAP3K3	393
PTPRG	285
LTK	381
ALOXE3	396
FTH1	321
DOCK2	354
SRGN	148
ALPK1	396
TAB3	357
TIFA	396
ALS2	261
ALS2CL	118
ALX1	396
AMER2	185
DERL2	396
ERLIN1	396
ERLIN2	396
NGLY1	396
TOM1L1	354
UBE2G2	396
UBXN1	396
UFD1	396
AMOT	181
AMOTL1	221
AMOTL2	127
DKFZP666F1010	57
DKFZP686B23205	365
CDC20B	289
KATNB1	268
MAD2L2	395
UBE2S	380
ANG	396
ANGPT2	396
BMX	376
FLT1	396
FLT3	374
FLT4	354
GRB7	313
IGF1R	539
PTPRB	393
TEK	395
TNIP2	396
ATP1A1	539
ATP1A2	539
EHD4	65
SCN3B	83
ANKRD13A	396
ANKRD13B	396
HBP1	396
ANKRD26	127
ANKRD27	189
RAB21	115
PSRC1	252
ANKRD54	359
DIXDC1	200
DKFZP586M1622	200
DVL1P1	198
ANLN	241
FGF1	396
FGF17	396
FGF20	396
FGF23	396
FGF4	396
FGF5	396
FGF6	396
FGF8	396
FGF9	396
ANXA1	423
ANXA6	151
FPR1	598
FPR3	423
PLA2G4A	425
ANXA3	396
SMPD1	355
DMPK	354
FGB	275
RAB14	169
RAB32	122
CD8B	338
DNAL4	261
NUMB	383
RPS6KA4	375
PSAP	426
LAMP2	365
APBB1IP	354
FGG	272
APBB2	359
BCL9L	365
DKFZP434G2016	365
DKK3	343
LZTS2	262
MACF1	298
MAPRE2	252
MAPRE3	226
NAV3	185
RANBP9	383
SPECC1L	340
ZNF106	387
ZRANB1	329
APLN	438
LOXL3	433
LGALS9	228
APOL5	271
ATCAY	396
CAVIN4	392
CDK17	539
CDKL2	381
CHRNA7	371
DCLK1	229
DUSP3	386
DYNLT1	289
DYRK2	396
ELK1	396
FLOT1	229
FLOT2	346
GAPDHS	358
HASPIN	369
KISS1	438
LIMA1	346
LIMK1	354
MAG	264
MAPK15	386
MAPK4	334
MAPK8IP1	334
MAPKAPK5	539
ODAM	380
OLFM1	396
PTPN7	396
RGS14	409
RNF41	396
SGK2	396
SOX7	396
SUGT1	386
ZAP70	378
RAB7B	252
DTNA	76
KLF15	396
SH2D2A	392
BMF	289
PTGER4	599
SPRY2	396
TNS2	145
ZNF16	252
TRPV4	539
CDC25B	377
CDKN2A	396
HSH2D	411
MATK	372
SHB	354
UBA3	396
MYO18A	180
INPP5D	368
KDELR2	172
KDELR3	170
ARC	228
CORO1B	187
BNIP1	175
NBAS	152
RINT1	183
SURF4	150
USE1	153
IL1RL1	369
IL33	389
IRAK4	376
LRIG1	396
PAG1	364
PTPN3	269
PTPRK	396
SPRY1	389
AREL1	396
GGA3	245
SHANK3	199
ARL4C	219
IPCEF1	395
IQSEC1	438
KIF5B	323
MAPK8IP3	311
RAB11FIP4	365
RAB4A	252
RALA	323
SCAMP2	169
ARFGEF1	242
KANK1	201
ARL4A	370
ARL4D	261
SDCBP	183
RND1	268
RND2	90
RND3	133
PACSIN1	181
GABRR1	396
CD53	382
IL16	365
PLEK	283
CDC42EP2	298
HEL-176	64
PLXNB1	293
SEMA4D	260
THY1	275
DKFZP686N1969	599
HTR3C	107
LINGO1	266
OMG	334
PLXNA2	187
PLXNA3	196
PLXNA4	208
PLXNB2	289
PLXNB3	115
PLXNC1	63
PLXND1	183
RTN4R	87
FCMR	161
SLA	366
UCP2	323
LSP1	350
RTKN	297
LIMCH1	34
TAX1BP3	209
DKFZP761N1814	234
EPB41L4B	372
DAAM1	288
CGNL1	119
MAP2K7	370
RIPK2	388
TUBB1	195
TUBB2A	194
TUBB2B	194
TUBB3	221
TUBB6	204
TUBB8	252
ARHGEF28	359
DLG5	297
CD244	105
PPP1R12A	298
CBLL1	396
UBE2E3	396
UBE2R2	396
ARL13B	335
INPP5E	340
TBCC	181
TBCD	221
TBCE	221
RP1L1	354
EVI5	225
ARL8A	396
DKFZP686O0451	396
LDHAL6A	396
SIM1	396
PER1	394
ARPC4-TTLL3	234
SH3GL3	288
HEL-S-307	276
NIF3L1	354
OPN1LW	599
OPN1MW3	599
OPN1SW	599
TBXA2R	592
CHRM3	599
CHRM4	599
CHRM5	599
GALR1	599
GALR3	599
GAS8	539
HRH4	599
KISS1R	587
OPRD1	599
PTCH1	380
PTH1R	599
RXFP3	598
GHSR	438
ARSB	396
ARTN	368
GFRA1	393
GFRA3	368
IRS2	396
ARVCF	144
CDH8	275
ASAH2	396
SH2B1	359
SH2B3	372
ASCL2	396
CABIN1	396
TLK2	239
TTK	289
ASIP	149
MC1R	393
ASPM	298
ASS1	320
SCYL3	396
CD8A	354
PRKD2	472
PRKD3	472
VIPR1	438
PDYN	425
PENK	432
VEGFC	472
VEGFD	472
MAPKAPK3	347
MKNK1	374
MKNK2	389
PTP4A1	330
ETV1	396
PEX6	396
MFN1	396
MFN2	354
